voltage	series1	
0	-0.2701299
0.0275	-0.2649344
0.055	-0.2614425
0.083	-0.2577357
0.1105	-0.2509108
0.138	-0.2471832
0.1655	-0.2427912
0.193	-0.2351974
0.2205	-0.230244
0.2485	-0.2238042
0.276	-0.2148522
0.3035	-0.2086616
0.331	-0.1980264
0.3585	-0.1920047
0.386	-0.1829016
0.414	-0.169016
0.4415	-0.1520572
0.469	-0.1252464
0.4965	-0.08568248
0.524	-0.02487465
0.5515	0.06535584
0.5795	0.1849776
0.607	0.3336429
0.6345	0.4986767
0.662	0.6838348
0.6895	0.8805886
0.717	1.088979
0.745	1.312059
0.7725	1.537956
0.8	1.769783
