voltage	series1	
0	-0.24049
0.0275	-0.2382517
0.055	-0.2370771
0.083	-0.2299453
0.1105	-0.2250249
0.138	-0.2168189
0.1655	-0.2137182
0.193	-0.2070854
0.2205	-0.2017599
0.2485	-0.1930032
0.276	-0.1875428
0.3035	-0.18121
0.331	-0.1707829
0.3585	-0.1621325
0.386	-0.1505671
0.414	-0.1388175
0.4415	-0.1210656
0.469	-0.09588787
0.4965	-0.06177183
0.524	-0.005004849
0.5515	0.07469613
0.5795	0.1832064
0.607	0.319042
0.6345	0.4741692
0.662	0.6483122
0.6895	0.8362152
0.717	1.036249
0.745	1.250699
0.7725	1.469617
0.8	1.694352
