voltage	series1	
0	-0.2952928
0.0275	-0.2915288
0.055	-0.2861212
0.083	-0.281628
0.1105	-0.2759629
0.138	-0.2722094
0.1655	-0.2659535
0.193	-0.2613965
0.2205	-0.2547571
0.2485	-0.2490711
0.276	-0.2396058
0.3035	-0.2313081
0.331	-0.2248145
0.3585	-0.2144633
0.386	-0.2039273
0.414	-0.1895503
0.4415	-0.1716746
0.469	-0.1434283
0.4965	-0.0985992
0.524	-0.03394409
0.5515	0.05419687
0.5795	0.1696484
0.607	0.3060651
0.6345	0.4569294
0.662	0.6235744
0.6895	0.8011876
0.717	0.9873006
0.745	1.185993
0.7725	1.386832
0.8	1.592645
