voltage	series1	
0	-0.2415486
0.0275	-0.238129
0.055	-0.2340564
0.083	-0.2310822
0.1105	-0.2239983
0.138	-0.2180814
0.1655	-0.2121667
0.193	-0.2066917
0.2205	-0.1998105
0.2485	-0.1911613
0.276	-0.1832478
0.3035	-0.1766207
0.331	-0.1650183
0.3585	-0.157141
0.386	-0.1464974
0.414	-0.132996
0.4415	-0.1170923
0.469	-0.09702624
0.4965	-0.06581032
0.524	-0.01826789
0.5515	0.05257539
0.5795	0.1503277
0.607	0.2737873
0.6345	0.4189266
0.662	0.5821112
0.6895	0.761124
0.717	0.9527052
0.745	1.158596
0.7725	1.368065
0.8	1.585193
