voltage	series1	
0	-0.2732778
0.0275	-0.2667639
0.055	-0.2585961
0.083	-0.2539192
0.1105	-0.2442505
0.138	-0.2356298
0.1655	-0.2282143
0.193	-0.22102
0.2205	-0.2081823
0.2485	-0.1986124
0.276	-0.1848528
0.3035	-0.1744756
0.331	-0.162431
0.3585	-0.1500314
0.386	-0.132838
0.414	-0.1158148
0.4415	-0.09145536
0.469	-0.06261974
0.4965	-0.01657394
0.524	0.05036257
0.5515	0.1447229
0.5795	0.2611095
0.607	0.4064441
0.6345	0.5738543
0.662	0.7563548
0.6895	0.9548953
0.717	1.162154
0.745	1.38546
0.7725	1.60953
0.8	1.841764
	
