voltage	series1	
0	-0.2938916
0.0275	-0.2896989
0.055	-0.2870049
0.083	-0.2814288
0.1105	-0.2780893
0.138	-0.2721397
0.1655	-0.2689156
0.193	-0.263204
0.2205	-0.2585195
0.2485	-0.2516403
0.276	-0.24638
0.3035	-0.2398166
0.331	-0.2321097
0.3585	-0.2239122
0.386	-0.2127477
0.414	-0.1984276
0.4415	-0.1802961
0.469	-0.1496421
0.4965	-0.1015848
0.524	-0.03347035
0.5515	0.05898928
0.5795	0.1751708
0.607	0.3105846
0.6345	0.4598869
0.662	0.6223526
0.6895	0.7947545
0.717	0.9760131
0.745	1.168189
0.7725	1.362391
0.8	1.560884
