voltage	series1	
0	-0.2936318
0.0275	-0.2914319
0.055	-0.2900153
0.083	-0.2862746
0.1105	-0.2837551
0.138	-0.278162
0.1655	-0.2758153
0.193	-0.2708203
0.2205	-0.2660637
0.2485	-0.2628534
0.276	-0.2587982
0.3035	-0.2534608
0.331	-0.2481914
0.3585	-0.24274
0.386	-0.2323505
0.414	-0.2226273
0.4415	-0.2050804
0.469	-0.1761855
0.4965	-0.1290932
0.524	-0.05624472
0.5515	0.04501766
0.5795	0.1747212
0.607	0.328506
0.6345	0.4988849
0.662	0.6838565
0.6895	0.8806689
0.717	1.08691
0.745	1.306861
0.7725	1.527612
0.8	1.753733
