voltage	series1	
0	-0.2945359
0.0275	-0.2909701
0.055	-0.2863684
0.083	-0.2823516
0.1105	-0.2796029
0.138	-0.2741379
0.1655	-0.2687972
0.193	-0.2613066
0.2205	-0.2585212
0.2485	-0.2509368
0.276	-0.244421
0.3035	-0.2377145
0.331	-0.2294395
0.3585	-0.2191368
0.386	-0.2087519
0.414	-0.1943742
0.4415	-0.1730593
0.469	-0.1376196
0.4965	-0.0862325
0.524	-0.007285986
0.5515	0.09299959
0.5795	0.2221066
0.607	0.3726123
0.6345	0.5366699
0.662	0.715539
0.6895	0.9052513
0.717	1.102914
0.745	1.313534
0.7725	1.525792
0.8	1.74297
