voltage	series1	
0	-0.2833622
0.0275	-0.2800693
0.055	-0.2778666
0.083	-0.2746159
0.1105	-0.2726871
0.138	-0.2680311
0.1655	-0.2667012
0.193	-0.2609766
0.2205	-0.2596019
0.2485	-0.2552901
0.276	-0.2524561
0.3035	-0.2444535
0.331	-0.240761
0.3585	-0.235711
0.386	-0.227297
0.414	-0.2160817
0.4415	-0.1998143
0.469	-0.1700886
0.4965	-0.1208443
0.524	-0.04598868
0.5515	0.05721945
0.5795	0.1891257
0.607	0.343507
0.6345	0.5153521
0.662	0.7013382
0.6895	0.8989164
0.717	1.106003
0.745	1.326207
0.7725	1.547683
0.8	1.774287
