voltage	series1	
0	-0.2597342
0.0275	-0.2536808
0.055	-0.2493818
0.083	-0.2441407
0.1105	-0.2378611
0.138	-0.231342
0.1655	-0.226305
0.193	-0.2208243
0.2205	-0.2126246
0.2485	-0.2064645
0.276	-0.1989471
0.3035	-0.1886262
0.331	-0.1821416
0.3585	-0.1717937
0.386	-0.1590106
0.414	-0.1452236
0.4415	-0.1263021
0.469	-0.09703333
0.4965	-0.05574693
0.524	0.007058252
0.5515	0.09859818
0.5795	0.2177371
0.607	0.3624926
0.6345	0.5255729
0.662	0.7063741
0.6895	0.9000952
0.717	1.105207
0.745	1.32506
0.7725	1.546901
0.8	1.775288
