voltage	series1	
0	-0.2647263
0.0275	-0.2602997
0.055	-0.2590775
0.083	-0.2562586
0.1105	-0.2539189
0.138	-0.2517487
0.1655	-0.2475801
0.193	-0.2430151
0.2205	-0.2386312
0.2485	-0.2345012
0.276	-0.2321059
0.3035	-0.2267051
0.331	-0.2239054
0.3585	-0.2176832
0.386	-0.2107145
0.414	-0.199709
0.4415	-0.182892
0.469	-0.1572158
0.4965	-0.1143123
0.524	-0.04761092
0.5515	0.04646687
0.5795	0.1686296
0.607	0.3135916
0.6345	0.4752453
0.662	0.6517412
0.6895	0.8392187
0.717	1.036818
0.745	1.246194
0.7725	1.458702
0.8	1.675765
