voltage	series1	
0	-0.2774097
0.0275	-0.2768927
0.055	-0.2719434
0.083	-0.268029
0.1105	-0.2664089
0.138	-0.2615077
0.1655	-0.2551944
0.193	-0.2513404
0.2205	-0.2455989
0.2485	-0.2417088
0.276	-0.2341886
0.3035	-0.2270259
0.331	-0.2218753
0.3585	-0.2129476
0.386	-0.2045684
0.414	-0.1923246
0.4415	-0.1763935
0.469	-0.1513535
0.4965	-0.1140598
0.524	-0.05547351
0.5515	0.02779687
0.5795	0.1397499
0.607	0.2750553
0.6345	0.4285218
0.662	0.598365
0.6895	0.7804486
0.717	0.9736455
0.745	1.179252
0.7725	1.387143
0.8	1.601044
