voltage	series1	
0	-0.2826514
0.0275	-0.2775559
0.055	-0.2726053
0.083	-0.2673852
0.1105	-0.2627531
0.138	-0.2590826
0.1655	-0.250959
0.193	-0.2478648
0.2205	-0.2398144
0.2485	-0.2344234
0.276	-0.2263609
0.3035	-0.2178564
0.331	-0.211575
0.3585	-0.2004449
0.386	-0.1902493
0.414	-0.1756038
0.4415	-0.1564935
0.469	-0.1251138
0.4965	-0.07849043
0.524	-0.01081364
0.5515	0.0839891
0.5795	0.2069503
0.607	0.3521304
0.6345	0.5149503
0.662	0.6927141
0.6895	0.8827773
0.717	1.08332
0.745	1.297132
0.7725	1.513111
0.8	1.735003
