voltage	series1	
0	-0.2646721
0.0275	-0.2627124
0.055	-0.2608625
0.083	-0.25858
0.1105	-0.2567279
0.138	-0.2561159
0.1655	-0.2523361
0.193	-0.2496234
0.2205	-0.2467737
0.2485	-0.2429884
0.276	-0.2408038
0.3035	-0.2379061
0.331	-0.2309952
0.3585	-0.2276029
0.386	-0.2226194
0.414	-0.2134359
0.4415	-0.1967923
0.469	-0.1672212
0.4965	-0.1200637
0.524	-0.04703958
0.5515	0.0577694
0.5795	0.1891948
0.607	0.3456071
0.6345	0.5172872
0.662	0.7045923
0.6895	0.9032343
0.717	1.111207
0.745	1.332673
0.7725	1.555445
0.8	1.783564
