voltage	series1	
0	-0.2861997
0.0275	-0.2818713
0.055	-0.2802729
0.083	-0.2738116
0.1105	-0.272203
0.138	-0.2677701
0.1655	-0.2645041
0.193	-0.2612052
0.2205	-0.2526914
0.2485	-0.2459505
0.276	-0.2421251
0.3035	-0.2332318
0.331	-0.227659
0.3585	-0.2170024
0.386	-0.2072552
0.414	-0.1951369
0.4415	-0.1746487
0.469	-0.1498162
0.4965	-0.1060278
0.524	-0.03952028
0.5515	0.05347631
0.5795	0.1771588
0.607	0.3257879
0.6345	0.4941136
0.662	0.6808042
0.6895	0.8807548
0.717	1.091901
0.745	1.317287
0.7725	1.546017
0.8	1.781121
