voltage	series1	
0	-0.2299582
0.0275	-0.2265189
0.055	-0.2240239
0.083	-0.2205034
0.1105	-0.2176071
0.138	-0.2114537
0.1655	-0.2070166
0.193	-0.2026274
0.2205	-0.1957496
0.2485	-0.1927526
0.276	-0.1856253
0.3035	-0.1784878
0.331	-0.172564
0.3585	-0.1641597
0.386	-0.1572155
0.414	-0.1452626
0.4415	-0.1297589
0.469	-0.1092278
0.4965	-0.07352958
0.524	-0.01875686
0.5515	0.06112128
0.5795	0.1685506
0.607	0.3011635
0.6345	0.4531641
0.662	0.6218967
0.6895	0.8045138
0.717	0.9983386
0.745	1.205907
0.7725	1.41748
0.8	1.634499
